"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.618482,69.776111,77.170242,66.595614,65.50804,62.138241,56.063333,57.817555,52.250472,60.080339,60.09832,64.536188,69.810648,76.857472,80.946003,83.697591,86.10689,89.251615,91.837185,90.106416,85.896872,87.988904,88.73563,91.758085,86.127811,89.949414
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.6616827,10.292843,8.6156009,10.376417,12.805278,10.997098,10.714341,11.389617,12.251032,13.549563,13.7176,15.763707,17.978603,20.252511,23.264188,22.948534,24.093526,27.84657,27.821428,29.309283,28.554625,29.47822,28.96298,29.889543,25.802396,24.078077,23.514687,26.510039,26.491757,24.667674,25.426736,25.033603,22.129459,19.753657,12.618807,12.770977,11.506468,11.794061,11.216368,10.009019,10.471914,10.219652,10.099505,8.9887836,9.6094743,8.9043124,10.332582,12.295866,11.860597,12.442592,13.146934,13.489115,13.315179,14.073635,14.58285,16.623257,17.710339,19.538528,19.373032,19.597603,21.142159
Denmark,no data,87.473769,84.962138,83.035739,83.163605,83.634187,82.251168,81.145056,84.548755,86.087047,90.291137,91.299651,91.77715,97.241262,99.152599,102.23625,107.51256,110.30981,112.70117,116.21276,118.33723,117.58408,120.12323,127.39165,131.73961,133.61787,128.75302,128.01079,126.33964,125.60015,125.11057,122.7621,115.08411,115.40109,118.91709,129.49994,147.11589,156.89733,158.79225,158.2764,159.28442,155.97467,149.21458,150.57331,141.25817,141.99982,144.44139,148.89022,148.45829,156.76263,163.93036,173.9251,173.41555,181.5538,193.12757,213.00903,229.97604,243.6061,250.47755,266.82924,255.89831,262.81157,263.8231,252.7353,253.41504,251.16144,248.5081,241.78056,241.59361,251.67913,247.77874
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.54803,37.559913,37.620071,36.245482,34.732899,35.199452,32.05195,30.433369,29.108399,27.574734,27.21706,30.431786,31.507298,30.679105,32.816461,20.38524,22.653271,18.671972,17.233671,15.94897,15.038051,14.298765,14.377594,16.049657,17.611875,21.611096,24.227803,22.025989,20.612052,22.164073,22.181459,21.515783,19.637302,21.140093,20.919942,20.632072,19.3354
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.119544,27.004688,20.877302,22.214356,24.744207,25.323977,27.290811,27.92187,29.682127,27.591229,27.593682,23.608987,22.824779,27.863356,34.307479,38.821008,39.508683,41.773392,43.681143,43.776372,46.496012,45.425194,47.226475,47.095565,46.862889,50.43349,47.855449,48.168852,45.377322,45.454802,48.586222,50.414862,49.120483,48.956462,48.916521,53.102608,55.614997,59.116134,57.621005,53.674742,51.306242,46.945855,49.295801,46.369278,40.132082,49.337832
Dominican Republic,3.7970254,4.2241463,4.2506678,5.1836565,5.6472948,8.0214345,6.4426623,8.0782726,9.3200314,8.9608404,4.6948801,3.8937207,5.754779,5.3523757,6.124004,6.5891243,6.1334045,6.3708035,9.1386156,10.82606,10.002847,17.313661,17.393796,18.954661,22.091855,21.629207,23.401119,23.174802,24.794239,25.382715,24.9419,23.602077,26.669191,26.48027,23.356913,21.572541,25.868576,26.322574,23.048232,25.838301,22.511152,17.084765,18.882842,19.283949,19.711927,19.861375,22.064969,23.283432,24.505347,28.144386,31.193136,33.741735,37.303724,36.837276,23.478745,20.378225,22.094983,18.18434,24.039287,25.830515,27.005444,27.475998,27.90496,28.431922,29.430603,30.661133,31.812668,31.946258,32.101324,32.061406,34.325926
Ecuador,15.195014,14.380613,14.695851,17.258559,18.500868,19.682263,21.083579,21.854874,23.083303,23.768536,23.773848,19.678117,18.908659,18.194887,18.598632,17.594027,16.497761,17.374369,18.667817,18.409491,13.133018,13.658862,13.377498,12.698418,12.373143,14.057776,14.59565,14.636126,14.975248,14.633642,12.258174,14.898739,14.882183,17.313368,17.755229,13.687129,15.451792,14.334402,9.7777706,9.2938419,10.277038,10.355642,10.898043,15.196367,20.400426,21.771975,22.565499,24.888503,22.521616,23.511498,26.943183,26.440481,21.083646,19.226096,21.285848,23.015571,23.221598,25.25439,24.922524,24.329071,26.649373,27.108094,27.048503,28.296684,29.441325,35.681431,39.492282,41.514726,43.065952,46.434643,51.724535
Egypt,12.129616,11.847702,12.076722,11.500973,14.031155,13.579008,14.165087,14.382038,15.607261,16.841389,16.106208,16.078801,16.03229,16.582037,16.281455,14.181534,11.477535,10.596244,11.878232,12.037103,10.929866,11.054677,10.628491,9.9698889,12.241156,14.644658,16.121431,17.645599,17.241284,18.050227,13.089954,23.318157,25.779893,26.135563,28.00604,29.414603,33.749716,27.240517,26.522278,25.076063,23.988875,21.038596,20.995176,22.136307,26.305805,30.85938,34.062862,37.715961,42.870422,47.96855,48.05039,50.475099,51.065642,50.808755,51.329157,47.383672,45.789809,43.673148,42.329543,35.108463,30.524454,29.344711,26.462739,25.873321,25.430181,26.004545,33.077542,27.675495,26.283146,23.625264,27.002128
El Salvador,8.5115662,8.2268427,8.5811317,8.4232642,10.026868,12.376497,14.387101,15.948408,15.812118,17.581693,19.183606,17.121104,15.193103,15.798675,16.906198,16.897204,17.149945,16.346975,15.716011,16.843389,17.137933,18.17766,19.077909,21.555647,20.43752,17.103736,18.399385,18.920687,20.488723,20.324614,20.57594,24.646499,28.468838,32.906521,48.548303,64.493288,39.644975,42.42297,41.242077,39.314548,15.945722,17.048499,18.998083,21.182357,30.896418,35.188149,40.089789,46.924854,46.454592,49.228924,51.382209,46.835722,49.648296,49.318648,49.836516,53.316504,53.431578,56.658108,54.097949,49.09451,46.962007,42.377589,45.297009,48.380385,49.959746,51.20321,53.569723,56.628797,57.797286,57.683719,65.23576
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.540702,25.748807,25.583634,34.681016,22.893197,22.387502,23.069898,24.410252,26.383693,25.836388,26.854425,26.600798,20.089178,24.903098,18.876523,15.507733,12.450091,12.082574,15.751589,12.653505,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.53333,26.218488,30.522413,34.232119,39.986739,52.547447,66.027637,68.739943,72.845997,80.983874,89.907678,96.846904,105.62855,110.56159,130.57846,136.63221,148.20855,159.79425,148.56693,133.48724,129.39053,127.31574,128.16144,125.6315,123.12591,117.59602,115.19548,115.70555,123.05978
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.5205553,0.44541761,0.43222808,2.6637299,2.9916527,2.9061425,3.4046949,3.3875141,3.7609654,4.0867269,4.8216691,4.94367,5.2049767,5.2481988,5.46239,4.6742767,4.321751,4.6276202,5.598066,2.8632447,1.8892209,2.3521573,2.3416274,2.1069484,2.0827312,1.8399783,1.7788997,2.2886483,1.6503593,1.5843515,1.5675831,1.425241,2.0525192,3.4587784,4.7966329,7.4753907,11.542155,13.835392,15.620625,18.756126,17.632151,17.777182,17.978063,17.496346,16.510124,18.849248,20.443528,18.523397,17.649856,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.896894,82.689186,84.572011,84.680004,81.432293,82.93489,84.205675,89.587661,89.654897,87.949776,87.533401,89.436657,93.574747,94.599289,95.34749,99.36862,102.33822,108.58733,115.00769,116.03184,128.85806,141.76918,163.61728,145.39016,136.76845,118.4426,115.24936,116.60364,108.66079,112.33966,121.74404,117.38875,119.4914,125.37282,128.92831,133.93832,139.97872,144.80681,156.12797,165.21538,167.17337,168.22594,171.54006,176.22662,182.51835,189.39565,179.47572,186.88251,186.381,183.58413,193.08475
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,94.240281,97.593588,101.6958,108.11712,109.44627,108.56898,109.4096,107.23891,107.27296,106.67105,106.67743,107.99433,108.41711,108.56381,110.59827,113.45077,111.47397,108.81799,113.44431,119.50941,123.29406,128.93001,131.9535,134.13164,134.42724,133.31935,130.87411,129.69018,129.80638,127.91583,133.24856,137.90286,142.93531,143.17039,142.7464,145.06106,149.18821,153.45727,157.0516,164.12085,172.15395,172.45021,178.66685,182.90634,181.32085,186.98318,192.55419,199.31557,200.94923,206.18756,210.98557,237.38842
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.3465257,8.0513441,7.1635831,7.6672223,7.7615871,7.1172806,7.4705663,6.5953664,4.6127642,6.4133065,6.1449647,4.4486242,5.8685907,6.3568794,8.7925556,8.0670139,9.4444839,9.1417775,8.2188453,9.4685033,10.67333,11.323109,7.3889641,5.165984,5.3154707,4.9648008,4.6752862,4.5261064,3.0549547,4.5208022,4.6251852,3.9458237,3.6778084,4.241214,4.5584371,5.0092896,5.0514792,5.5527425,6.7938784,6.6890113,4.9324141,5.7468139,7.1088844,7.4278411,8.5931736,9.0484344,9.3828238,10.251527,9.8661674,9.7774168,8.5750905,no data,no data,5.4431293,6.4483279,7.65681,7.3703411
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.140461,6.2373678,4.4894608,5.9112447,7.9622671,8.5993132,8.3363626,9.1123271,11.290681,10.228179,16.97718,22.697269,31.456831,37.324162,34.689095,34.488686,45.931094,40.988271,45.102673,62.051435,55.018761,63.286075,61.960693,65.994526,71.822518,84.865461
Germany,35.930608,37.8819,43.179242,50.362841,58.07073,61.897779,63.860245,64.971663,67.878467,73.689355,72.816601,77.02014,80.250706,84.834216,86.590807,88.629732,90.259361,94.899851,98.470019,101.48363,100.07471,102.20564,106.41257,107.80598,108.8926,111.21162,110.74973,112.78196,114.2315,116.49315,120.94588,125.71471,128.434,129.80674,130.70245,131.0691,127.97479,128.0541,127.37364,127.71275,126.07593,115.46103,115.65726,123.9304,124.83791,123.67991,129.00056,132.31594,136.70143,140.64657,144.9785,145.67318,147.00803,147.80749,141.89019,139.65957,136.58687,132.43888,131.72422,135.50269,128.33641,122.85009,123.05907,124.06844,117.95852,117.30264,117.07845,117.53759,119.47688,121.15721,130.54995
Ghana,no data,no data,no data,no data,no data,0.61915371,0.72175789,0.65496544,0.68047872,0.9795973,1.2149006,1.551517,1.6312505,3.3163209,2.9508909,3.3449068,3.0301659,3.0268397,3.4096645,3.7571543,3.4546578,5.2620442,4.225163,2.23612,2.3751734,2.4202453,2.3949752,2.0999374,1.4735622,1.1792433,0.91758382,0.80631648,0.80723655,0.68143905,0.97369054,1.2897502,1.4825755,1.3036733,1.306295,2.4167484,1.9729484,1.4668164,1.9487046,2.1689401,2.3268122,2.250538,2.6959403,3.5848093,4.0218141,5.4030656,6.0166675,5.1028941,5.209632,5.3717294,5.6217385,6.6651851,7.7342392,10.468147,11.657383,11.41332,10.749055,10.452058,10.795702,12.009779,13.308257,14.515291,14.044455,12.602407,10.395345,11.181748,10.481826
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.575095,24.889915,27.64824,29.302266,29.328899,27.819732,28.524918,31.234071,32.341983,34.011081,36.793295,40.44691,43.423142,39.261953,41.452119,42.903808,43.341052,46.366151,46.7911,44.705389,45.405165,48.972421,48.78164,49.001506,48.008812,46.908181,44.671478,43.99213,41.131211,42.161931,39.561536,36.934067,36.720565,35.002303,35.593776,36.249851,36.795278,39.017443,42.313576,45.72667,54.74278,61.881254,65.602596,69.728179,74.924251,87.1751,94.041403,103.07716,114.71444,118.14249,129.58273,133.03658,135.11352,133.57886,132.2917,129.31463,127.22728,120.47112,119.09785,110.45782,125.11548
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,95.596225,92.486038,87.308879,74.506757,53.358597,41.953776,30.440828,29.951548,27.578377,25.133694,24.1579,24.052392,23.265619,21.40304,20.681274,24.216663,30.022508,32.511498,33.330304,37.821774,36.057373,35.406933,37.617473,49.449605,47.23183,47.331984,49.993338,55.524171,56.869695,59.001944,62.558115,63.080487,61.432234,58.464734,61.617994,57.966498,64.876729,68.79338,70.076901,79.377269,83.97994,84.876021,82.804814,74.25666,65.206336,57.321429,53.722784,51.066906,50.645703,50.603154,60.24806
Guatemala,5.0697059,5.5724964,5.6313474,6.1078472,7.3931178,7.6894337,8.0211963,9.7132432,11.246516,10.558955,11.211847,11.682154,11.388803,11.81108,13.181118,14.243312,14.699663,15.717396,15.138231,15.230453,14.119034,14.071009,14.400371,13.242191,14.079234,13.934923,13.643965,14.035568,15.901584,16.811563,18.045494,18.538267,19.606298,21.378191,22.742605,21.235858,16.507203,18.371765,18.109748,17.294416,15.769038,13.365427,16.220308,15.638535,16.989041,21.915454,23.242331,24.430301,25.87369,27.007489,27.954352,28.956054,25.558215,29.358317,29.737907,29.887327,32.791319,35.970873,35.785079,35.284225,34.242252,35.798619,37.783359,37.906177,39.515805,42.130487,42.012437,41.508787,41.964514,40.368595,41.879888
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6542421,2.9250547,2.5106417,2.5832722,2.9895319,3.1413504,3.5604948,3.527481,3.2244336,2.527486,2.6838811,2.8826398,2.8300704,2.7079468,2.7063728,2.4618551,2.8868908,3.7647278,2.7999363,2.7663788,2.6272763,3.92619,6.7955716,5.6198791,6.6943055,9.1316941,10.775251,9.564868,8.0939738,8.5699381,9.0903695,8.0543159
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.26654457,0.21444916,0.20917836,0.40850908,0.60152438,0.31295074,0.3682026,0.49003469,0.737912,0.72127201,1.1381481,0.38307701,no data,0.63690109,0.84416368,1.2240924,1.911004,2.9634874,4.8597684,4.1122944,6.0572111,8.1610766,11.721133,11.415393,12.9011,7.3342924,6.5771898,11.280824,13.81677,14.249997,15.663285
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.6092757,5.4258386,5.0670053,6.2151214,5.8675532,5.0164516,6.5002883,6.6989341,8.4478216,9.5705892,10.638312,10.949492,10.966965,11.999685,10.241347,9.6288292,9.0713417,8.8805523,8.7820573,10.795807,11.714131,14.12521,17.968679,20.718243,20.948065,19.686604,21.82575,14.788141,20.196836,11.728393,12.319979,7.9820579,8.7229828,8.6479826,9.2142396,12.135955,18.550928,21.437567,25.116093,23.361642,24.017266,24.97932,24.791721,20.90005,19.504844,20.080876,20.827669,20.192205,21.110753,21.837784,22.890137,23.526214,23.134087,25.819729,28.449369,28.987244,28.180715,27.166754,27.867499,27.740891,26.918336
Haiti,no data,no data,no data,no data,no data,0.23009485,0.36117219,0.5047779,0.58469438,0.62752081,0.74249123,0.81178392,0.77007098,0.86277159,0.8859218,1.2722867,1.2923964,1.6001994,1.3805826,1.5409497,1.7767359,1.6243493,2.0388385,3.005492,4.124849,4.4888849,4.8202844,5.362563,6.3345559,6.3849373,5.9946452,6.2264417,6.0800968,5.718292,5.4603558,4.9821489,4.4868163,8.6837578,17.253879,22.438295,21.11456,20.256458,23.399102,18.537327,7.2151658,7.2269999,7.2462461,8.9283973,7.9880169,8.1375242,8.7496305,8.03666,9.7304764,9.7928646,7.9316768,8.2729061,7.9954195,7.2708532,8.0881284,7.7493233,7.2683423,8.0267207,10.314724,10.27611,10.8601,10.226918,9.9962356,9.4064235,10.717749,10.091137,8.159547
Honduras,3.4383936,2.9098753,3.6508776,4.005561,4.587766,5.0646546,5.3879807,6.0727551,5.6028271,5.8750566,6.1429763,6.2823155,6.327416,6.6441158,7.1368323,8.2196595,9.666381,11.294365,11.827916,14.265142,15.175874,15.415913,15.689191,17.486735,17.807622,20.324178,21.091517,21.812536,21.976426,21.674188,20.661626,20.237673,21.914894,22.934496,23.347709,23.953009,24.761247,26.118903,24.612216,23.883121,22.154196,18.776749,20.325746,19.310496,18.969679,17.689954,19.830217,25.749121,30.275656,33.926576,33.489662,35.625705,34.948221,35.470263,36.449587,37.529694,43.363028,50.881048,49.87299,48.838375,46.227878,46.462767,50.461035,53.946347,54.301442,53.810012,56.310734,56.264169,60.755302,61.8472,67.035549
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,99.837961,100.40465,109.1018,126.39117,144.07132,146.65274,130.23985,129.56311,132.14185,134.99801,139.34414,157.09903,167.27486,152.53637,143.55933,145.90852,148.11787,155.48943,162.9874,175.68807,173.96715,160.72215,156.45469,153.35043,150.39812,156.18767,159.97036,163.60584,165.33367,174.76132,179.39722,181.74658,211.20539,222.27033,224.51407,247.05334,267.72781,267.87673,275.93973,299.57219,292.16879,308.29707,337.96088
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.544317,39.243104,43.634893,43.437476,44.039705,49.369827,50.404111,54.668777,57.579051,62.837827,65.154392,66.300681,66.289296,67.59876,69.667513,70.520288,71.742489,74.476312,75.2704,70.766544,66.866594,65.425299,56.148384,48.734921,46.977768,49.259389,44.95238,48.032652,49.565128,49.187451,53.373529,60.346672,62.130751,61.495719,71.775341,76.452287,88.080227,94.262277,108.84092,118.67195,130.40767,125.67724,125.92646,115.54614,108.05086,104.85252,94.725444,89.694619,83.575107,81.908563,81.871664,88.874672
Iceland,no data,105.61526,107.83069,107.83564,110.72807,117.55709,110.87574,117.06503,120.23796,125.40087,116.19673,110.82455,104.22891,100.21108,77.461696,81.185031,79.145695,89.903774,95.344079,83.998987,77.543481,74.011672,71.061275,67.712028,73.356493,72.618224,67.566758,66.041903,67.434853,68.3704,83.509576,82.905598,104.51846,109.06066,115.90213,114.7584,100.95242,101.309,110.13595,118.29692,114.57651,120.98448,134.65579,141.75506,138.24801,140.03627,145.13503,152.76876,160.17812,181.04534,199.43106,208.85667,202.56457,236.11852,254.31302,318.25995,421.42527,551.67655,614.08458,675.33545,505.41843,453.92125,382.68547,330.08224,325.16685,281.04886,249.87711,199.2671,189.22625,179.33729,224.5786
India,no data,15.841589,15.78385,15.265885,17.570511,18.756201,17.779449,19.293673,19.196272,21.126125,21.473796,21.159505,21.699257,23.393227,20.992109,22.269988,22.098259,19.663551,20.364851,21.359488,22.681836,24.600945,25.649465,25.918469,23.796913,26.521427,34.880382,35.492408,38.951949,42.136303,39.663223,41.023243,43.950973,43.941449,46.331282,46.329157,47.325397,47.473498,49.705225,50.213856,49.296365,46.149379,48.394194,45.922036,45.059601,46.801194,45.703425,46.379126,46.899777,49.940533,54.356319,55.466585,61.136563,60.705661,66.870157,74.881082,82.815891,87.200283,95.732038,91.555183,97.250371,101.18216,102.59805,101.08366,99.073079,95.354338,89.410749,85.233476,85.748351,85.409136,93.039615
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.9039022,11.19761,14.404608,15.070441,17.255098,19.687665,22.750938,24.247497,28.857298,35.902041,50.077759,49.751953,48.165994,51.815111,54.97273,56.662036,59.861878,66.864049,73.259088,33.439047,30.419126,27.556907,25.720423,25.748103,27.419054,27.72233,26.074261,26.389336,26.957139,26.780701,27.660648,30.685363,34.939301,38.716922,40.322198,41.837235,40.669746,40.347019,41.364758,40.807336,42.687071
Iran,no data,no data,no data,no data,no data,2.4281142,1.7659223,2.5529343,3.863564,5.4927847,no data,13.860763,12.557165,15.152644,16.543743,15.921384,16.753831,17.736362,18.451693,18.797845,20.182759,19.439703,19.950935,19.792159,14.953222,19.817153,20.561752,21.028412,no data,26.78294,28.490866,25.723332,22.313445,20.820093,18.845489,21.347693,25.057549,23.277357,23.985941,25.525537,24.468396,24.355465,24.888258,22.325046,20.996037,17.57483,15.926791,16.883818,18.712,18.834482,26.440807,31.537255,31.387867,35.768824,39.164135,42.652466,48.468453,50.081919,47.689675,51.547935,53.872416,54.386535,54.994316,49.281798,53.313538,60.113455,66.315667,no data,no data,no data,no data
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.1213596,1.2306006,1.652808,2.0308369,2.256844,3.5798577,5.2905378,5.233974,5.9139142,6.3510453,6.7601193,9.228157,9.6252817,8.5975527,7.6441022,no data,no data
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,82.711009,77.859839,81.014063,87.621885,84.140134,78.068011,74.632838,79.7782,79.833766,83.477785,85.279873,80.500522,83.004851,81.485151,81.211663,79.671299,81.465663,79.996114,75.543184,81.068598,87.581184,91.120818,94.210895,92.09993,91.584329,90.884578,100.52738,110.20253,132.78551,132.96435,139.39421,137.3932,146.52933,164.89482,183.07987,221.56709,235.2352,293.23591,314.10166,321.34343,326.49503,324.42782,307.01016,311.25047,334.72475,314.21472,278.42384,277.78139,249.00273,221.22032
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,78.013323,85.376217,89.615399,92.308022,94.411095,98.609508,106.19794,110.38486,109.92518,118.87621,123.95497,120.34816,119.83296,125.08103,125.1183,129.87371,122.59758,124.22435,123.27575,120.65942,117.95196,113.35487,111.21867,110.08742,110.90689,110.36118,110.40183,110.20389,114.79564
Italy,23.194671,24.137878,28.354397,30.813166,34.078848,36.214267,38.915807,40.444271,41.702858,45.065693,47.098689,50.849414,55.292985,58.823248,58.354076,59.780488,62.207288,64.415101,66.531416,68.369025,68.179343,71.974321,75.289019,72.54822,68.138303,69.251744,62.795987,59.200397,53.655244,51.103797,49.043834,48.628121,46.659502,45.334061,48.617362,48.677881,48.663531,49.547384,51.65398,54.804722,58.422607,60.508686,63.896961,64.314461,61.424793,69.97105,68.203344,67.766033,68.105713,75.48364,79.407465,82.782241,85.270148,89.41215,93.311726,99.083645,105.25322,112.96388,116.47487,124.99353,125.62125,124.72003,126.88237,124.9485,123.11304,118.90736,115.01391,112.24841,110.49631,109.66106,122.103
Jamaica,no data,no data,no data,29.836976,23.890017,25.084721,21.718507,26.88228,32.885096,37.894541,39.730919,41.139939,37.708673,34.422753,40.979373,45.958782,46.871929,47.055089,50.307595,64.853374,61.301902,65.794931,72.936166,79.73666,80.66039,77.533954,74.075423,60.448172,55.670252,59.814502,61.025669,75.568387,90.301098,93.581946,83.164192,74.1838,79.1227,96.041712,107.57073,120.9367,87.562465,78.280867,53.400238,58.912996,55.302449,60.257537,55.827143,49.875366,57.387845,57.306703,64.136819,35.144023,41.053695,49.800053,58.351521,52.194986,63.552385,70.939995,70.029986,58.286519,59.753698,61.947983,72.849691,89.146115,94.446744,97.372638,96.50442,91.863791,87.049747,93.67468,92.050567
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,109.89693,116.99865,117.60728,118.3207,116.07238,117.79413,117.92389,130.95314,139.61573,137.94863,131.83332,136.5091,137.60961,136.18831,135.27081,137.57661,140.07832,143.53448,149.29597,155.95552,159.45274,161.95869,168.18042,183.30662,189.49243,200.43156,206.83437,205.67105,208.18011,213.18058,214.21089,212.48347,208.53455,206.299,199.28193,196.46581,187.62011,182.87096,179.08443,171.11044,163.97314,161.7333,160.31791,158.27562,163.43384,169.78806,162.06962,162.15503,160.07277,158.50174,156.49652,151.9706,154.4083,154.93078,158.2809,162.31286,180.82619
Jordan,no data,no data,no data,no data,12.31107,17.342831,13.927985,16.831219,14.898938,17.153711,18.22731,19.356331,19.807141,24.55322,21.989827,21.193897,22.838377,19.408586,19.752616,19.416011,20.480062,19.781147,18.927232,22.292802,26.649826,30.428194,34.510837,31.413179,41.16762,48.974024,50.38821,51.598541,55.362185,60.248502,64.323773,65.628031,62.46803,63.973185,67.409669,69.923086,67.355286,67.445596,59.793266,65.578876,69.722105,74.450289,74.971625,75.287142,73.843273,75.838424,75.760958,78.948693,74.833153,72.564409,75.55911,89.505048,93.022654,94.274934,82.837821,84.059469,80.767969,80.376313,79.105554,80.074971,76.794006,75.8397,83.22071,77.5,78.5,78.4,no data
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.7458944,5.32012,5.4826941,6.7516977,10.771882,11.647388,17.151986,20.823102,25.660182,30.623368,40.779887,55.566996,66.184124,60.397981,61.994607,51.408523,42.880839,43.94369,43.208811,42.970721,48.804768,50.918263,45.830559,41.199804,37.931082,39.937583
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.2126603,4.0334217,4.4425484,4.7247616,4.5320825,4.1998294,5.000772,4.4455128,4.4915453,5.3516628,6.1759599,5.6185134,6.1434929,6.199204,5.6185851,5.7264956,6.0660133,7.5017633,7.4226494,7.7228226,7.4492061,7.063693,6.7137717,6.5834585,6.6751454,6.6243067,6.3449135,6.5904956,6.6868114,6.4766134,6.9626106,7.9128916,6.6538741,7.4062071,9.5559159,9.4028832,10.597068,11.008395,12.210023,12.290486,12.349299,12.097263,11.928582,13.833462,13.513173,13.936822,14.43917,18.527352,21.548291,23.531057,26.60311,25.790133,27.782746,33.782899,36.02219,34.737099,32.393399,30.642128,30.120851,31.264652
