"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,298.71322,275.97923,267.34553,309.90586,296.30854,333.41305,239.02999,178.99855,no data
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.472252,78.397762,80.277037,82.000347,79.002914,82.207121,83.889792,88.795639,93.343195,99.192379,88.080717,91.249663,89.762053,87.773245,83.913884,80.893463,79.92703,81.982617,86.007681,92.038488,93.179052,96.405627,106.26649,110.25304,110.92563,106.36993,110.44482,117.55592,123.7439,136.27108,146.20167,152.16487,149.18556,155.6609,158.52368,156.85837,159.07163,170.08576,192.09278,204.38707,190.52404,200.81789,205.69845,205.31536,207.07487,208.92388,229.2133,216.66734,211.2264,208.71284,233.14331
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.3403357,1.5052157,1.8440892,1.8606442,1.8290637,1.5701803,1.3785166,1.4140162,1.4130857,1.7281862,1.8778936,2.0676555,2.229196,2.4936852,3.0453902,8.77139,7.6879167,7.7566897,8.3437119,10.009433,11.588392,13.727734,17.150983,16.484301,12.97363,15.059548,13.9467,12.929833,13.842082,10.498742,9.8846815,7.9499444,6.0330593,5.4336373,4.3680921,3.8388024,4.3810195,2.7984744,3.5725638,5.0443215,5.4815691,5.0720985,4.7917066,7.6302793,7.6770309,8.931851,10.22123,12.19121,12.618077,14.965521,15.690434,16.417279,15.501321,16.317198,16.603257,16.614961,17.373534,16.483229,16.688286,17.547611,15.483432
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.7539108,3.1705978,2.6962018,2.8423854,2.7921477,3.1965636,4.5537832,4.4059661,5.5550307,6.92692,7.0902436,9.1593952,8.1217986,7.0538655,11.887802,10.08305,8.7681775,9.226266,10.461866,12.284712,14.045273,17.029229,19.730601,22.982846,26.047921,32.202838,35.044284,45.829842,51.68021,49.978128,48.516558,47.734493,48.693352,51.021843,53.679726,59.453049,66.395034,68.938669
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.7800788,11.580772,15.991375,18.766298,18.920505,16.918109,13.415857,11.726411,10.942494,15.301243,11.867335,11.423428,11.571389,7.7566833,7.9738734,7.1401648,5.6381459,6.8793133,9.7007656,12.258994,15.182323,14.707653,14.4621,12.294246,10.879252,10.119659,13.527089,14.375354,15.141548,17.039278,20.164017,20.950221,22.138715,20.999436,21.570222,23.922666,26.589688,28.644349,26.384944,28.105415,34.084911,34.423879,33.824909,38.731611,35.683726,37.175241,38.007008,38.936988,41.55883
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.86937,85.175539,51.037264,44.452205,47.302406,48.896045,48.266681,46.856582,48.891056,52.375086,47.975524,44.67031,46.096488,49.58779,47.320498,55.056606,57.435572,58.447283,61.769448,66.11244,68.265137,71.007776,76.014229,78.315526,76.788913,77.91645,81.048311,90.816138
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59.522089,53.811378,47.763793,35.407093,36.131029,52.031372,10.865706,12.394163,19.364346,27.493452,31.371213,37.55117,48.206894,64.586797,81.771497,104.10432,134.75352,150.6035,149.67342,145.87869,136.79187,135.71631,138.36045,138.65114,118.57477,113.23844,107.82512,106.37873,101.9712,104.39342
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.7476809,1.46596,1.5171423,1.7072066,1.8925372,1.9177622,1.5432372,1.6765574,1.8301686,2.1937711,1.940564,2.0379833,3.2017089,3.964199,5.6770595,6.8051128,11.180348,12.395675,13.258217,11.553961,10.613529,10.50523,10.534291,10.309961,9.834618,10.598224,11.059851,11.620563,11.918489,13.214422,13.584082,9.9404213,8.6592364,7.8458527,5.5698432,5.3925229,5.5102902,9.2651733,8.8669808,8.155606,9.4142591,9.6774264,8.8249278,11.327834,12.842402,13.195216,14.578622,12.699233,14.981663,15.980893,15.480021,15.248813,16.493135,20.681748,23.277088,24.911036,25.680465,27.305885,26.795786,28.355831,29.228694
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.731709,2.4659744,2.3220422,3.0368107,2.9835638,2.0550048,3.4330592,3.7303919,4.0904833,4.3486146,8.0533728,2.6337242,3.5154062,3.0624867,6.4394008,7.7498594,6.1334967,8.8691496,7.4058045,6.3414626,3.553949,3.1962843,3.990481,3.8776237,5.4276687,6.3472265,7.9636819,9.9654045,9.9313944,13.001306,13.667867,10.958394,12.807766,10.823983,12.42381,13.343871,16.133897,15.144891,18.666065,18.652728,15.858068,13.132414,14.667173,13.943455,12.801759,13.87117,17.295433,20.613335,19.339773,18.267638,18.474869,15.838272,16.541458,14.709776,17.215785,19.719089,22.946376
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.7385563,1.6945967,1.5749083,1.7478242,2.1422963,2.1980812,1.9289306,1.8377784,1.4232573,1.4922373,1.1425506,1.5195859,1.9705947,2.3556529,3.2270934,3.0445314,3.1742018,12.985418,13.358915,17.052088,16.76095,20.363789,20.53074,26.995657,26.469806,26.592936,29.319155,30.873541,32.629493,33.385837,38.861458,44.371738,51.313541,56.985823,60.72818,65.101379,63.630026,63.392018,62.573551,61.150505,60.546002,61.80361,59.277926,57.794653,72.127887
