Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.339688,6.4840637,6.7706536,7.4666702,6.4710497,6.2379426,7.7354496,9.736386,10.405293,12.042553,11.366848,10.84731,9.356969,10.43991,11.601147,12.64375,12.307825,12.188979,12.324933,11.305587,11.831524,12.275738,13.223336,15.390098,17.877772,19.762782,20.379247,20.498398,20.231564,20.847558,20.030641,18.665644,18.71003,18.211669,18.81849,20.853542,21.399188,22.042568,22.777445,22.990842,25.455505,30.909272,33.692271,35.306422,36.449504,44.684038,46.309049,47.410433,49.737055,52.995801,60.619382,59.869481,85.72112
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.27486921,0.30692118,0.53786024,1.0199648,2.2433166,2.2479083,7.1593313,6.6628767,6.9278452,7.1641683,7.2544555,6.2994042,11.045477,11.868453,15.126396,15.589707,7.5447135,6.9942208,6.7245867,6.1985202,5.8606118,14.198659,13.674529,15.382764,20.844987,25.716768,25.744556,26.075813,28.378579,32.45156,29.396313,24.193481,20.251526,16.344896,12.562767,21.362543,30.010529,32.801636,36.208074,43.937784,44.398379,66.176347,81.325704,88.129183,94.984067,102.12202,129.71985
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.803739,13.606137,11.218069,17.642946,22.830208,21.888146,19.163277,17.901278,21.638294,25.578818,28.083545,25.876457,28.569475,32.957262,35.938434,35.348387,34.237178,37.120234,37.445629,39.070281,40.151067,41.84127,38.773604,36.588027,34.209789,36.423827,37.844675,36.477024,43.98052,46.203401,44.321697,43.481849,42.295556,42.3245,41.913418,40.573233,39.542724,35.485396,36.623454,36.22063,35.820045,35.273439,33.681127,33.331268,33.376308,34.565022,35.694064,38.90849
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.775354,22.786046,25.999667,30.977206,27.601341,21.557547,24.229948,29.084947,28.518154,26.218228,24.941469,26.955523,28.086723,28.961285,28.810403,31.643908,34.78611,36.955676,38.39624,36.372274,41.703645,43.034171,45.787196,46.910432,56.649554,58.87587,59.373643,60.405315,54.527137,54.181436,61.276772,67.770259,71.555878,72.155531,72.449112,75.215129,77.818947,77.899384,81.992165,100.37237,108.92049,112.34967,124.12232,135.29932,139.38987,147.91789,150.59965,159.12634,127.28113,119.60866,150.36207
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.527083,50.839941,10.348076,10.10526,15.65739,12.286043,10.261559,10.925435,10.524028,10.06743,8.616199,7.9814981,8.489744,11.102777,12.496513,21.428991,22.485133,46.911792,30.315991,30.836012,32.93696,46.914172,47.147875,47.214587,42.513821,37.604828,44.93411
Belgium,64.992097,65.546483,69.455962,62.658464,63.318101,65.514567,62.899825,59.857105,60.801029,65.362322,66.431314,64.92774,63.172929,61.777986,59.764851,56.484329,53.36491,52.063454,52.625659,52.025649,48.299721,44.790394,45.090083,43.069606,40.781742,39.426552,40.2353,41.032486,43.953924,47.330026,52.432369,62.071758,72.554808,82.429375,87.842949,95.032381,100.07125,104.17481,105.62963,103.78114,104.23628,106.79022,108.96866,115.49525,112.6987,116.60981,114.05023,111.36919,106.86688,103.87444,98.932427,98.156128,95.297067,89.333608,85.088606,83.855475,80.866121,77.203822,82.738484,86.494186,85.766646,88.46737,88.969768,89.611332,90.035583,88.826068,89.150052,86.983934,84.906054,83.254084,95.344178
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.670445,16.89983,28.225545,29.645218,34.102209,41.109734,48.799661,58.939328,56.831166,68.803956,62.384343,56.177559,47.012461,43.463565,39.833511,41.534943,41.687322,41.231956,41.817469,47.148034,50.878739,52.596202,52.192589,56.630296,78.999652,66.599063,70.94726,89.572142,94.161144,97.254594,93.761028,89.150828,83.19234,90.579228,86.888085,83.026135,79.473824,80.839207,78.925317,82.841373,88.188434,95.243476,94.325315,94.421005,123.2878
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.4841578,4.794191,3.8620347,5.7911778,6.9564394,9.6819611,11.205552,12.931899,13.359297,18.001809,18.105009,30.89077,45.696715,54.462285,48.506629,51.677776,47.182125,48.581231,47.165101,50.327737,45.271477,44.031655,41.795413,41.876364,64.607327,48.253134,43.431141,42.941272,41.570581,39.408922,39.591941,37.986511,30.768042,23.380852,21.50953,26.978139,8.3661223,14.285904,18.306656,18.74768,20.999765,21.860411,19.540206,18.503746,22.282075,30.90023,35.92335,39.598463,41.080351,41.229642,46.142077
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.873712,2.6767171,5.0477581,11.431203,15.970904,18.573969,26.510834,28.411228,29.491037,35.991694,38.24077,40.414325,42.39051,37.260339,38.439573,35.432064,39.110608,42.148774,47.306884,56.249264,62.003696,73.759478,81.982445,87.189039,85.44609,71.677462,65.04253,65.683014,60.973542,69.111246,79.347408,102.28224,98.833768,98.56505,117.27526,111.72426,110.46472,106.60777,120.74349
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.243777,62.914922,73.596946,77.498904,50.558339,53.539168,64.795151,76.485335,76.378927,84.835785,91.975686,111.7899,144.25544,150.5948,160.20649,192.10069,140.04399,135.89928,118.0144,100.03179,104.85484,94.622201,94.109236,85.404662,89.045714,83.042026,73.551862,65.551182,62.216909,62.495919,63.716064,71.71464,76.34014,84.229013,78.541207,72.965764,48.95097,37.113351,33.944362,36.233746,34.407332,30.223498,29.08793,28.298954,27.742438,29.506448,31.155126,32.872792,37.866565,42.389883,57.747725
