Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.982567,53.175822,56.011037,55.292322,58.510471,58.1749,58.106751,63.733978,66.324157,65.349472,60.360807,58.392593,56.684685,59.308869,29.555161,27.905739,25.702236,25.069563,24.592915,26.910224,39.913469,45.684571,47.915751,46.508287,38.976285,40.879317
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.589993,13.354739,16.661957,10.669581,11.992091,12.362862,28.533222,33.062846,38.050797,47.018992,51.367673,51.073924,49.744028,43.902454,no data,56.561304,58.705219,55.301402,55.406008,56.975603,59.281461,54.664875,49.275424,57.089621,61.97804,69.553052,97.490291,99.360355,98.220077,85.81775,84.935068,80.446791,74.900174,66.527392,62.810459,67.315736,68.635744,74.031962,75.569193,73.533988,71.133163,72.906868,82.072036,88.483238,89.179147,111.31797
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.673373,13.778497,14.749594,24.272152,26.7288,17.480654,18.829662,16.584523,22.517361,26.892605,27.143268,28.316352,31.48143,36.816963,35.277524,33.257586,34.509493,36.050575,36.823514,39.603212,55.926289
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.790733,53.312384,57.696487,66.395363,62.474347,51.991782,51.967072,45.265603,48.270747,71.699631,63.678989,49.374448,43.855911,40.431218,36.402283,32.390856,26.462947,25.194197,20.57668,14.937695,17.817892,17.261196,20.086655,22.906946,27.517065,30.94902,35.620193,41.307584,42.957732,49.840053,no data
Egypt,no data,no data,no data,no data,16.019945,19.20801,27.021077,26.15856,no data,24.0631,32.247312,36.71576,39.909859,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
El Salvador,no data,5.0551012,5.4901688,6.0907363,5.252242,4.622938,5.5619554,6.4045122,6.7431662,6.531779,6.3876277,7.5524765,no data,7.4228364,7.6078997,8.4643024,9.3663346,9.4912164,9.6625621,10.382835,10.130386,10.360474,11.009334,11.151838,12.176864,13.078639,14.418898,12.133856,14.630956,15.905987,21.988532,39.503499,50.086888,66.419708,102.35461,112.06756,92.898002,96.316115,84.666125,84.934134,55.738833,57.519297,52.612891,41.557363,36.971072,32.499645,32.336295,28.628087,26.169392,28.397962,30.518382,35.083163,40.208856,42.57024,44.083816,43.924616,43.957052,41.496813,41.409938,50.298751,49.885299,48.146278,51.343603,49.185097,49.625909,49.661963,49.572266,48.748759,48.226518,48.461184,63.177186
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,146.22913,221.0679,260.66736,259.28791,257.93826,183.75747,152.46515,141.31786,154.50372,187.02502,157.00448,169.46537,136.8705,152.57527,215.97342,136.87449,91.185503,46.261473,59.233168,60.477907,36.627469,25.477075,19.446711,6.7131317,4.5259438,2.8488715,1.2201328,0.75386536,0.48808587,4.3369923,7.8941111,7.1704249,7.0972396,6.2720553,12.559933,31.656703,41.139414,36.235134,41.207373,42.988552,48.863677
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.775932,57.061021,64.513241,111.16383,no data,219.06024,238.52065,243.39174,263.93736,193.47519,205.33214,199.04636,201.27977,259.66665,206.89563,198.36473,160.76395,154.60573,186.99133,136.56224,180.71214,167.5106,202.53609,185.60683,189.34976,184.89518
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.326501,2.9139539,3.4707219,3.1322832,2.7819057,2.2515553,2.0546941,1.4023253,1.7583269,3.6803365,3.362707,3.2907104,10.905474,11.059829,11.319703,10.978912,10.930251,9.9959595,9.3606397,9.7896712,18.292483
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.302364,19.778382,18.899776,20.207338,15.384695,15.441216,13.988977,13.691535,31.243106,30.809623,27.228127,24.308098,29.234752,28.724096,29.714839,45.536616,43.994976,36.132186,27.479389,26.778334,20.396575,20.14916,16.557767,15.185714,13.372691,12.511656,11.609806,12.601502,15.473452,16.691048,18.158978,21.756793,17.136829,17.481577,15.028105,13.500562,14.589632,16.119453,14.595777,10.486661,14.095744,14.685337,14.764754,15.005365,14.135409,19.657823,25.149394,27.990761,34.328864,40.166816,41.674146
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.3510262,7.5122446,8.0066849,10.942577,11.628313,12.182579,12.644179,15.722879,15.3074,15.707501,19.356547,21.658074,25.730803,28.969809,26.347743,28.266503,27.292584,32.000392,32.852984,no data,36.156085,36.391916,42.216293,44.265771,47.617884,48.367175,48.797421,54.131724,36.630225,32.703001,36.925584,41.034814,43.385067,44.85364,44.534061,43.989458,49.204054,46.042616,47.463735,51.504189,51.84115,48.64208,47.65327,45.846824,44.508051,43.044523,44.717625,44.407811,46.389251,48.896163,70.793642
Finland,12.873646,7.1053016,7.5039766,8.3579704,8.1552613,7.5285942,8.0380017,7.2168894,7.1527364,6.9344188,5.3500559,4.8170129,6.2596198,7.7056939,7.5441634,8.5196081,9.0724759,8.2593442,8.1331329,6.7574912,5.6640343,4.8147886,3.7950379,2.4161364,1.6660327,3.0571775,2.7407228,4.3001724,7.7199282,7.8912969,8.2566356,8.7914107,10.788915,12.24524,12.054656,12.576135,12.982149,13.866954,12.428017,10.138603,9.978122,16.463941,33.222854,48.240538,51.266681,51.254706,51.906782,49.304647,44.096652,41.57947,39.920992,38.426861,37.348976,39.349847,38.849066,35.561398,33.508389,29.431449,28.0802,36.044611,41.230872,42.455479,46.148221,47.965212,50.594257,53.020791,52.814939,50.951609,49.378073,49.223022,57.527902
France,37.46479,31.754082,30.763287,32.700541,32.118152,31.039315,30.900727,30.685558,30.203341,29.155251,26.461726,24.353464,21.878313,20.551837,18.15357,16.286699,14.294599,14.991601,14.800996,13.449534,19.651805,18.750261,16.662014,14.78766,14.333275,15.080793,14.124204,13.961187,13.272468,13.103735,12.838391,13.882761,16.979841,17.97046,19.772853,20.932071,22.047739,23.692059,23.875532,24.991952,26.159275,26.683033,29.726353,35.005109,38.792508,44.119832,47.585737,48.825126,49.929876,49.685974,48.58023,48.465739,50.616282,53.757177,53.667242,54.295106,51.418959,51.185767,55.250504,67.046336,68.250765,69.642518,72.026863,74.745334,76.026915,76.609147,78.930089,79.739096,80.611652,81.058075,93.440331
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.772331,15.469749,19.897905,26.602646,33.601067,35.789489,46.3863,63.350306,75.251862,67.457714,33.544525,26.781489,25.521693,22.436205,24.226767,31.815241,35.755574,73.69295,72.24563,72.843536,57.893426,64.5296,61.556924,60.871339,93.635852,85.289548,74.410435,71.619882,92.670616,77.459223,72.496907,80.979437,81.070062,70.241029,60.301269,49.326339,39.597815,39.237099,20.053192,25.991749,21.295213,21.424997,21.442436,31.112811,34.062798,44.70321,64.198722,62.885536,60.91397,59.778071,77.403149
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.0994056,5.3998113,6.262175,8.9812494,14.548214,13.516461,19.12711,27.28227,37.258749,42.920782,47.872679,56.277671,69.502361,64.007544,82.25381,73.0338,66.90177,67.958975,58.763277,71.019876,63.474428,67.307925,68.81521,71.437463,68.810998,72.158314,70.167853,73.250229,75.229867,93.875279,91.694292,81.303059,82.596471,87.344267,38.022861,39.528277,38.868143,42.948652,49.240639,49.491895,58.24417,71.086021,69.368877,80.948309,87.0077,84.610975,80.560168,83.487132
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.5504334,8.2987339,8.8641717,8.4920926,8.2283851,8.2767402,9.8095918,9.8680664,8.5546944,7.8063632,7.1891988,7.2908219,7.089656,7.6038159,10.648823,11.457127,12.374188,13.480228,14.218915,15.206257,17.178806,18.698066,19.697816,20.216102,20.667849,20.659505,21.169951,21.671373,21.07389,23.250888,22.772985,24.847479,27.06989,28.815774,35.465927,37.2755,37.747444,38.261435,39.062385,38.226913,36.416913,37.009126,38.883508,39.752312,41.298076,41.175558,39.523474,40.051404,44.410994,52.143191,50.003304,50.645537,49.540079,47.771424,45.34717,43.574044,41.329411,39.284828,37.423467,44.934968
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.180208,21.203759,17.81771,17.486121,16.885518,19.639595,19.756919,18.043776,16.56522,15.480837,17.644677,15.379775,13.61969,14.208691,15.530347,14.451484,12.637453,11.865689,10.09402,8.8798026,8.5789449,9.6029172,13.654721,15.066268,19.499543,28.898872,25.421087,24.821121,24.147189,24.562152,27.120945,37.155936,55.155994,51.077766,46.048101,48.666528,40.572295,55.730471,80.171331,61.920214,57.96057,52.847918,41.107871,33.992963,18.508988,22.54881,24.643957,26.792,34.507418,31.264541,35.351621,42.929941,50.110815,53.895632,55.942271,56.983897,61.998467,62.589588,78.924395
Greece,11.319512,14.955584,18.342615,15.908503,13.707051,12.230791,11.173285,7.4636872,8.4104478,10.354872,10.181559,11.096965,13.127778,19.240057,18.455696,19.054505,16.037,17.909764,19.337596,21.284053,18.822101,19.00479,20.120414,16.555722,17.477994,18.176322,20.80436,23.232853,23.651987,23.133295,24.592685,28.773888,29.634242,33.959588,40.503248,48.655528,49.281954,54.802467,59.55804,62.515067,76.476171,77.764332,83.487357,94.54235,100.08624,101.6657,104.10757,100.7269,98.177842,97.367714,99.378216,96.572348,102.48954,100.23456,105.27379,109.03758,104.71873,103.74114,109.21981,126.74572,151.82943,180.99534,162.18427,178.9807,182.76273,182.46105,187.30702,185.54904,199.71882,194.10561,225.53563
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,124.07403,68.286924,58.966123,45.995551,42.116273,37.531271,33.913286,31.442907,32.120951,24.587203,22.590956,27.433901,38.97133,48.521005,46.644322,45.030384,43.801121,44.903778,44.568062,39.937682,46.166434,46.87986,40.068932,45.284265,45.684683,43.081888,43.869086,41.427699,40.270917,34.483637,41.626135,44.607792,79.089601,79.561854,94.69362,87.31234,92.923461,89.056235,83.913062,91.094365,96.936934,100.68904,103.33766,108.05938,101.76427,90.099984,81.568465,70.108963,64.478505,60.551128,71.295273
Guatemala,3.3008075,2.825197,2.6241834,3.2880166,2.0958971,4.7184976,3.8613152,3.9876242,4.5392369,6.2448049,6.6523351,7.4143121,7.6597085,7.59963,7.8163556,10.704732,10.769506,11.406961,11.575483,11.194955,11.416106,13.219666,14.819764,13.261969,12.521663,12.087378,13.213386,12.859932,13.163251,12.71925,15.382002,22.084722,35.736206,42.92306,48.443867,61.246626,51.104957,51.235027,45.825953,45.615828,47.252913,34.341435,30.061129,26.671574,23.693196,21.007795,19.215054,18.458639,18.955669,21.988944,20.646129,21.100405,18.758007,21.316431,21.472332,20.778369,21.11412,20.995069,19.817988,23.151166,24.329715,24.044037,24.80271,25.17967,24.792685,24.920102,25.034992,25.153788,26.526533,26.53945,31.571464
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.604621,70.856719,62.001052,68.912009,71.280066,66.533736,67.676708,67.867956,75.938287,92.250913,91.491824,90.436484,82.610228,81.572276,86.866168,97.91528,95.221798,60.800096,58.463417,61.306075,68.853016,58.082233,27.185401,33.966962,35.158098,44.389275,43.009276,41.883958,39.266744,38.37333,43.779521
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.91168,111.72635,141.43191,124.56391,117.27891,88.857068,85.297371,112.3814,105.49377,103.33063,117.34324,118.98979,152.6289,145.14878,217.1386,204.44157,197.47118,183.38436,201.95932,203.65142,190.40659,163.97032,148.81517,148.25821,61.725945,46.133517,47.337633,50.799363,57.466311,54.069051,56.967239,50.019248,59.165714,65.870037,79.296386
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.331714,22.15611,20.030278,23.003775,23.246196,24.126857,29.694844,25.096527,42.356288,47.25247,53.994059,46.942408,66.693311,88.163263,102.19859,99.229267,112.47466,125.02461,138.86616,199.05713,233.78364,230.65124,256.38076,279.97436,204.02724,262.91756,243.62343,305.29159,265.25884,316.15551,279.99797,236.15541,210.627,146.97394,128.29673,120.75508,107.04496,110.9897,100.63297,105.07834,95.61711,91.770023,90.740936,74.498238,47.719336,48.246735,52.315779,53.079479,51.673123,44.693653,41.439895,38.673589,42.200907,44.20132,43.230719,47.367906,43.870761,51.373725
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.538515,10.951031,11.136997,8.9206813,13.33303,14.190575,14.897887,18.500574,20.114439,19.794494,20.327001,23.68746,25.541479,28.884418,27.327744,25.647633,26.471631,58.600711,90.885272,98.694915,85.106519,80.691319,118.85931,98.01836,35.304601,26.226527,26.238885,26.234236,24.011528,24.145653,32.454646,28.753998,31.95133,37.794119,30.448708,29.709307,32.163323,30.191512,32.747364,18.268015,23.220277,21.341563,22.789483,24.380084,20.80245,21.74086,21.571184,18.95773,21.553037,25.794285,21.347235
Honduras,2.2123894,1.875,2.9058116,2.5693161,2.7734375,2.5865209,3.9304348,4.6308725,no data,8.0547112,8.9716839,8.2162922,8.5419354,9.0975607,9.7811814,8.9675514,9.472727,9.7240805,9.7459585,13.004451,15.359097,17.177814,18.122263,17.886048,19.665756,24.48697,26.42599,27.804405,31.169286,33.62861,40.078082,43.84562,50.588771,58.771255,64.041006,63.248567,65.299618,63.314092,61.905832,58.995079,105.39163,88.864847,82.728843,97.618548,88.877663,80.959206,88.653328,70.307605,65.763221,69.556867,62.468703,59.828619,54.379924,58.108488,58.088045,43.887251,28.323016,17.156295,20.076463,23.866252,29.179924,31.593365,35.339395,43.115619,44.440621,44.32558,45.980423,47.436585,48.546426,48.671461,58.909654
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.5575283,3.4686358,3.7400461,5.5431152,4.9570682,4.5897435,4.179903,3.9238929,4.8817384,5.5169867,6.0999881,6.7744724,7.6696262,7.4778596,7.295812,7.4849359,6.9899225,6.5966677,5.9471876,no data
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.667505,63.523772,74.291238,76.499571,86.611382,85.062964,83.528042,71.514489,62.663064,60.224309,60.261983,55.281036,51.624592,54.246315,56.52253,57.280136,58.784599,62.251809,62.740514,68.229404,73.873509,75.194422,75.799818,74.003801,74.729546,75.197582,73.825603,73.422674,71.41185,69.245395,65.363061,79.618205
Iceland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.484996,11.452587,12.322836,16.175362,16.600287,18.075458,19.276471,20.451955,22.222905,23.056607,26.453274,28.282883,30.259265,30.79213,27.616327,25.429052,26.70462,31.135234,31.289465,33.541957,39.507621,47.106297,49.424186,51.401793,48.674791,45.277631,49.530251,75.842326,75.547416,82.718313,80.484347,84.505887,78.998187,66.532037,69.679192,67.478182,107.95905,124.75733,130.00446,135.67172,131.60109,120.185,114.85132,95.308952,81.549177,69.344869,61.332085,63.311117,74.461655
India,26.127108,25.177432,26.388536,24.646241,24.862066,29.625378,25.479542,27.38254,23.732237,33.584855,34.458642,36.78929,36.205628,35.427495,33.811465,36.732696,36.377748,33.994221,40.309245,38.779648,38.183503,37.583009,37.157028,34.129334,28.767862,28.86382,33.639179,37.026388,36.604854,38.761404,37.378346,36.540862,40.978317,38.963718,40.844696,43.51558,47.039176,48.024402,48.063844,49.586584,49.895311,49.247174,42.094871,50.87889,48.871916,46.61245,44.877201,no data,54.880335,52.234777,55.595253,57.009132,59.82358,57.215179,55.133145,52.180952,49.089628,47.435384,47.496185,49.355031,44.7436,45.774017,47.092134,46.981927,46.025387,45.77384,45.532489,44.272661,44.157591,46.136617,55.335283
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.678073,26.37786,18.87196,17.234147,16.337507,15.762935,24.032182,17.488811,13.560295,14.046405,23.227415,23.67074,20.984947,26.246979,35.039558,45.879126,41.404972,38.647724,37.103455,35.716638,35.247303,33.191987,32.144942,28.346241,23.416971,23.340635,62.539805,83.031204,87.437299,71.10391,61.829978,56.254074,52.042211,43.523984,35.854049,32.333566,30.226921,26.460835,24.429159,23.097718,22.95471,24.884419,24.681673,27.459991,28.346531,29.398831,29.775407,30.182153,39.357912
Iran,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.494625,12.817856,11.405565,11.768692,5.9505496,7.6463305,6.0197555,8.2912111,no data,no data,31.574058,43.142218,46.837852,34.290888,9.3875309,8.7450687,47.075443,47.450165,53.876348,50.072331,36.54876,29.799667,25.428077,25.27207,40.340387,30.404491,21.589245,19.052885,22.010272,16.133197,11.132551,17.53719,21.846485,21.711545,20.580352,17.46191,14.642843,13.5922,10.730848,12.111632,13.976978,10.869694,11.706297,10.342797,10.982636,39.260114,44.649658,36.916652,38.471745,47.864221,39.526639
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,344.31742,227.34427,143.16484,117.08483,74.167511,87.3751,53.53288,40.719366,34.781799,31.986994,32.862483,56.934462,67.005906,59.061277,47.830171,45.138138,84.210793
Ireland,37.684514,45.606385,47.428854,49.22275,55.983465,63.819841,67.314432,70.149143,72.794208,70.336719,73.639106,73.660398,73.513107,74.475079,70.889501,73.418375,78.05461,76.972967,66.104769,63.585661,62.237476,59.672955,55.882557,52.061761,58.904274,65.653803,70.15871,67.493827,69.771364,74.546225,75.844881,80.70385,77.862367,87.129108,91.951173,93.105478,102.09594,104.73908,101.84464,92.618476,86.301016,83.916993,81.787947,81.740703,no data,77.375279,69.481806,61.255662,51.107564,48.261355,38.220996,35.128028,32.596591,31.386655,29.633313,28.831563,26.10625,26.457067,45.158046,64.764588,89.841071,114.33067,123.42142,123.73751,108.52316,79.982727,77.43749,71.023101,71.114526,64.841985,65.213912
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,254.98844,277.48062,194.45574,158.92996,140.13461,142.29133,143.89557,134.45433,119.95284,115.93593,114.37643,106.29811,94.499731,92.691063,91.013589,92.811383,87.095105,77.226461,81.339722,87.843241,90.401896,89.070652,86.108894,78.095108,71.101812,70.110255,72.880579,69.01665,67.273934,66.830116,65.528302,64.368138,62.323274,60.388415,58.423213,58.771703,58.03381,70.205208
Italy,30.797852,31.341487,33.292566,34.235825,36.006839,35.795821,34.77555,33.990574,33.816897,34.940659,31.216404,29.873065,28.91783,27.201767,27.203123,28.393688,29.562798,28.936342,30.359333,30.642348,31.012154,34.373578,37.888555,40.477617,40.785883,47.889216,47.851736,49.64237,54.633138,53.920988,51.172596,53.97015,58.30108,64.278355,69.079787,75.734424,80.402285,84.671023,86.926514,89.551848,93.411212,96.001283,102.63747,112.39705,119.40166,117.70205,117.62121,115.05206,112.2715,110.65526,105.94663,105.6013,103.15212,101.21791,100.65133,101.5311,100.76826,97.816962,100.41617,109.79923,112.47503,113.19086,120.03119,126.33878,129.81138,130.0347,129.89545,129.56084,130.0652,130.35468,151.33884
Jamaica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.048455,16.176309,17.334178,19.074308,20.465728,22.769697,22.043856,21.354355,22.894262,23.855594,24.329798,27.55868,34.27154,52.824719,53.885051,65.016319,no data,124.04051,143.63123,144.13634,211.75478,237.77125,232.16857,200.57428,205.78528,179.35783,168.15256,128.78625,175.07765,100.38146,106.19177,90.414461,85.212773,70.231642,74.405147,75.603935,86.754987,93.687124,110.65212,122.23924,128.78457,123.25395,127.71512,121.0697,118.24894,128.89411,145.21451,143.74304,141.72739,146.6829,141.66744,140.28789,124.0267,115.43462,103.01187,95.597961,94.735498,107.36704
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.5882972,7.4474239,8.388414,11.47288,10.608165,10.955101,14.018416,18.055559,22.180677,28.957001,32.502083,33.791945,38.134519,42.264888,47.349724,49.074179,51.812893,57.223447,58.209075,54.522404,48.691914,46.110609,44.929203,47.527952,51.346356,56.772668,62.206591,65.877228,69.476583,77.223967,88.121135,94.177705,100.98861,110.00109,117.50051,127.21137,134.35697,135.43835,135.45637,143.26374,158.08086,165.7596,177.92473,185.02924,189.12759,192.85162,189.87516,194.59588,193.93236,195.87982,199.17353,221.06767
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.305665,23.573034,30.583753,34.369577,39.721586,40.339327,40.788912,37.669245,42.891971,45.543813,45.076415,49.812835,52.11796,59.768223,67.030873,70.60672,83.161625,82.270963,99.434519,126.14736,190.72036,222.0287,202.72605,151.31244,138.3804,127.6059,116.13859,115.01794,107.75972,110.85402,109.14051,99.2612,94.542653,95.752925,89.305534,81.547702,73.813775,67.449405,65.388032,54.24031,57.964557,59.437225,62.068805,70.520933,75.583654,75.013179,78.423169,77.431712,76.022151,75.061017,78.015211,87.977943
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,21.620062,17.658333,15.356382,13.21775,9.9891175,7.0552467,5.9374168,5.3220019,6.3267628,9.5136451,10.185342,9.7075037,11.693356,12.217464,14.147285,21.195756,18.899423,18.745029,18.884261,18.483046,23.55684
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.3416491,5.9525536,6.5799527,6.3103294,6.6704745,6.2406896,6.7297625,6.8544004,6.5185499,6.9419168,8.8006463,8.6030304,8.7723595,9.8507294,10.83474,11.002651,12.496626,12.778963,15.09418,17.635911,17.117853,16.766452,18.895479,20.504899,23.801,22.198015,21.913897,24.622376,28.206633,26.977092,40.401983,37.365751,34.136537,26.566938,23.58228,24.288161,25.596365,27.883466,30.997816,32.686295,33.090258,31.382977,28.431969,27.196904,24.316943,30.84697,35.926578,39.116119,38.534502,39.223943,39.273293,38.566369,44.374566,46.733655,54.752036,57.344147,58.978573,67.572272
Kiribati,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.1067129,4.270464,6.5581323,7.341487,9.3535563,13.693227,15.038279,15.03377,13.42023,12.785166,11.192628,13.239291,11.850994,15.395675,11.776152,11.247671,11.983517,10.53448,11.340451,9.9252963,12.892984,9.3451882,8.4660247,8.0172681,7.4363357,8.2997985,8.6984236,19.899087,21.941433,21.42312,19.371827,18.096412,17.403508
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,16.754635,no data,13.586875,13.270211,12.943899,9.1438116,6.5159729,6.0973609,4.4092028,3.7080501,2.7354159,no data,10.693496,14.679477,18.566005,18.154232,18.939671,21.820032,20.714488,20.403383,18.701794,16.008823,18.878659,19.165634,20.942358,19.733154,17.336181,16.630322,14.932015,15.70495,13.026278,12.72232,12.238558,11.415776,11.160201,10.421399,9.2436269,8.1526136,7.5028079,9.3088067,13.297701,15.168509,15.490529,15.996689,16.132705,18.964249,21.586473,24.941308,27.167819,26.531207,25.809714,28.713704,28.262274,29.000591,29.518552,30.916449,32.183164,33.564123,34.002007,34.17773,34.337928,36.32116,42.37638
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.1187832,5.9084507,5.270144,8.1163889,8.9730785,10.702829,13.116143,14.393667,16.23209,16.997517,17.550888,24.096169
